direct_distance,road_distance,num_l_turns,num_r_turns,num_straights,median_angle,total_angle,mean_angle,std_angle,max_angle,min_angle,median_pivot_off,mean_pivot_off,std_pivot_off,max_pivot_off,min_pivot_off,start_time,end_time,duration_seconds,safety
69.75590131464732,1310.4566283509846,9,6,4,300.0,3225,215.0,133.79088160259653,345,15,27.0,24.0,15.57776192739723,47,2,2020-05-05T21:23:39.003141,2020-05-05T21:24:25.568321,46.56518,safe
34.4333411033007,2583.786627455001,11,12,2,120.0,4005,174.1304347826087,124.06740956916231,345,15,27.0,23.08695652173913,12.934325896211753,47,2,2020-05-06T12:21:16.411075,2020-05-06T12:22:22.738133,66.327058,safe
31.131320418692635,1456.0461851357063,3,7,3,60.0,1095,109.5,99.96124248927681,285,15,29.5,29.5,6.422616289332565,42,22,2020-05-05T21:24:26.408802,2020-05-05T21:25:13.218778,46.809976,safe
191.65905615326017,1626.5645662802408,6,6,5,180.0,2205,183.75,113.76373543445204,345,30,12.0,21.583333333333332,16.76533294894226,47,2,2020-05-06T12:22:23.297975,2020-05-06T12:23:15.580658,52.282683,safe
191.65905615326017,1853.1691785659252,6,8,5,82.5,2130,152.14285714285714,123.02314366634849,330,15,34.5,28.428571428571427,17.971065179155893,47,2,2020-05-05T21:25:13.806798,2020-05-05T21:26:06.492178,52.68538,safe
201.41220129763533,1962.6767004205142,6,5,2,240.0,2115,192.27272727272728,106.79980499564331,330,45,27.0,26.545454545454547,9.403709484353273,42,12,2020-05-06T12:23:15.938659,2020-05-06T12:24:09.801695,53.863036,safe
167.6622457812031,1882.5328178340585,9,9,2,180.0,3330,185.0,122.37238250520417,345,15,22.0,22.27777777777778,15.764959581847457,47,2,2020-05-05T21:26:07.045230,2020-05-05T21:26:37.539962,30.494732,unsafe
116.17418861005244,1582.293694750227,7,8,2,120.0,2610,174.0,119.97499739529066,330,15,22.0,22.333333333333332,14.197026292697904,47,7,2020-05-06T12:24:10.374692,2020-05-06T12:25:03.870180,53.495488,safe
270.7840377976009,1362.0490183319405,6,5,4,255.0,2115,192.27272727272728,118.76951775227278,330,15,17.0,23.363636363636363,16.388869433927223,47,2,2020-05-05T21:26:37.863962,2020-05-05T21:27:26.308802,48.44484,safe
69.75590131464732,1684.4442944748446,6,7,2,105.0,2190,168.46153846153845,126.3448366633132,345,15,22.0,24.692307692307693,8.461538461538462,37,12,2020-05-06T12:25:04.327148,2020-05-06T12:25:53.516273,49.189125,safe
191.65905615326017,1951.9347657617288,13,9,6,285.0,4710,214.0909090909091,133.10655645722653,345,15,22.0,23.363636363636363,16.038435240343045,47,2,2020-05-05T21:27:29.263168,2020-05-05T21:28:01.234698,31.97153,unsafe
31.294689322266162,1600.3290886596455,7,7,3,180.0,2550,182.14285714285714,131.11764463524304,345,15,24.5,25.571428571428573,13.942300925673667,47,2,2020-05-06T12:25:53.955787,2020-05-06T12:26:43.806472,49.850685,safe
20.0,1673.465513660708,12,9,4,255.0,4305,205.0,130.95800853708795,345,15,17.0,19.142857142857142,11.502735551601107,47,2,2020-05-05T21:28:03.123103,2020-05-05T21:28:55.869393,52.74629,safe
35.14295454662025,2203.411843610544,5,7,1,97.5,1845,153.75,108.01475593639972,345,15,32.0,31.583333333333332,12.983697042402403,47,7,2020-05-06T12:26:44.163503,2020-05-06T12:27:41.345405,57.181902,safe
167.74661140877944,1531.7389848729958,7,4,3,300.0,2595,235.9090909090909,112.26628616046968,345,30,22.0,20.636363636363637,12.44823994329923,47,2,2020-05-05T21:28:56.493896,2020-05-05T21:29:42.876316,46.38242,safe
27.38855975645174,1361.6262818691166,8,10,3,90.0,2865,159.16666666666666,127.68505089564016,345,15,19.5,17.555555555555557,11.889408088351498,37,2,2020-05-06T12:27:41.936401,2020-05-06T12:28:18.491395,36.554994,unsafe
35.60898762952969,2348.1983321791304,8,11,1,120.0,2910,153.1578947368421,117.4645582193758,345,15,7.0,17.263157894736842,14.821187200346024,47,2,2020-05-05T21:29:43.353002,2020-05-05T21:30:41.051708,57.698706,safe
191.65905615326017,1733.9900855704177,4,4,1,180.0,1395,174.375,96.90322169566913,285,15,39.5,33.875,13.213984069916235,47,7,2020-05-06T12:28:18.688388,2020-05-06T12:29:09.098313,50.409925,safe
40.77496789914136,2113.1303390083717,9,8,1,255.0,3225,189.7058823529412,131.46762728604125,345,15,22.0,27.58823529411765,15.985503813766108,47,2,2020-05-05T21:30:41.588838,2020-05-05T21:31:37.310322,55.721484,safe
84.5803907040383,1953.870617200217,5,8,5,90.0,1860,143.07692307692307,118.49275313021762,330,15,27.0,27.384615384615383,14.47299055555906,47,2,2020-05-06T12:29:09.667793,2020-05-06T12:30:02.216893,52.5491,safe
127.18008183839729,1528.7517639676473,8,6,2,277.5,2835,202.5,125.5950124123452,345,15,22.0,23.785714285714285,15.190121655811957,47,2,2020-05-05T21:31:37.703329,2020-05-05T21:32:28.353971,50.650642,safe
74.02204643285917,1547.0003975856011,8,6,2,277.5,2835,202.5,117.93990600543749,330,30,22.0,23.071428571428573,9.852224445809801,42,7,2020-05-06T12:30:02.677866,2020-05-06T12:30:55.857468,53.179602,safe
51.21500216437505,1867.4223574847197,7,7,6,180.0,2595,185.35714285714286,123.7720295790711,345,15,24.5,25.571428571428573,10.424656799518873,42,12,2020-05-05T21:32:28.935186,2020-05-05T21:33:23.185183,54.249997,safe
167.6622457812031,1555.4565251611716,7,5,1,285.0,2520,210.0,123.08533625091171,345,30,27.0,25.333333333333332,14.624940645653536,47,2,2020-05-06T12:30:56.168464,2020-05-06T12:31:43.378843,47.210379,safe
69.36083649386055,1546.7949599568672,6,5,4,255.0,2115,192.27272727272728,117.0346420425018,345,30,27.0,23.818181818181817,16.958871005616025,47,2,2020-05-05T21:33:23.703255,2020-05-05T21:34:11.608408,47.905153,safe
269.48612805935187,1285.7010055880555,4,4,4,172.5,1350,168.75,109.65143637910084,330,45,22.0,24.5,12.24744871391589,42,2,2020-05-06T12:31:43.653843,2020-05-06T12:32:29.607260,45.953417,safe
13.228701606227839,1649.9608155005951,4,8,2,60.0,1470,122.5,108.65656906050366,285,15,22.0,24.083333333333332,11.629404780794053,42,7,2020-05-05T21:34:11.968409,2020-05-05T21:35:00.255505,48.287096,safe
177.15849370950104,2043.1596070220503,6,10,3,97.5,2310,144.375,125.59701180760632,345,15,22.0,21.375,13.905372163304367,47,2,2020-05-06T12:32:30.128774,2020-05-06T12:33:22.417329,52.288555,safe
208.2081710662985,2550.2968380612674,8,10,4,105.0,2880,160.0,111.46748404803976,345,15,22.0,21.166666666666668,15.11529762268088,47,2,2020-05-05T21:35:01.038721,2020-05-05T21:35:40.643668,39.604947,unsafe
47.349545235818816,596.2254983415148,3,2,1,270.0,990,198.0,102.79105019407089,300,45,32.0,32.0,6.324555320336759,42,22,2020-05-06T12:33:22.782331,2020-05-06T12:33:59.689440,36.907109,safe
69.36083649386055,1946.1128440351047,12,11,1,240.0,4305,187.17391304347825,129.5546391946734,345,15,17.0,17.652173913043477,13.294682479496222,47,2,2020-05-05T21:35:41.308678,2020-05-05T21:36:21.985229,40.676551,unsafe
303.72804020842824,2885.9693111636007,10,10,3,180.0,3690,184.5,117.25932798715844,345,15,22.0,24.0,15.921683328090658,47,2,2020-05-06T12:34:00.385702,2020-05-06T12:34:35.666668,35.280966,unsafe
167.6622457812031,1359.2828091185015,3,4,3,90.0,1050,150.0,116.74147261608202,315,15,32.0,32.0,9.636241116594315,42,17,2020-05-05T21:36:22.207707,2020-05-05T21:37:05.957951,43.750244,safe
70.3420215802759,1642.4757570429058,11,8,4,300.0,4065,213.94736842105263,126.33059123802309,345,30,22.0,21.736842105263158,13.12627780351571,47,2,2020-05-06T12:34:36.600684,2020-05-06T12:35:34.190308,57.589624,safe
239.43738967899466,1754.564876798186,4,6,2,97.5,1515,151.5,115.10973025769802,330,15,37.0,34.0,10.770329614269007,47,7,2020-05-05T21:37:07.516370,2020-05-05T21:37:53.642503,46.126133,safe
208.2081710662985,1542.2573861562296,8,6,2,255.0,2790,199.28571428571428,106.58425813239333,345,60,17.0,19.142857142857142,12.637004294967237,42,2,2020-05-06T12:35:34.618308,2020-05-06T12:36:30.070537,55.452229,safe
120.09649018010694,2029.7712786598538,9,10,3,105.0,3195,168.1578947368421,125.45926709825395,345,15,22.0,21.473684210526315,15.034586165353367,47,2,2020-05-05T21:37:54.423015,2020-05-05T21:38:52.541032,58.118017,safe
167.74661140877944,1428.8321889540352,10,9,2,285.0,3660,192.6315789473684,130.51888773431097,345,15,22.0,21.736842105263158,15.850758259342733,47,2,2020-05-06T12:36:30.746504,2020-05-06T12:37:14.581880,43.835376,unsafe
149.89329538041386,1730.190050431803,10,7,1,270.0,3495,205.58823529411765,125.47418709159895,345,15,27.0,26.11764705882353,13.637674258081917,47,2,2020-05-05T21:38:52.973194,2020-05-05T21:39:42.964610,49.991416,unsafe
173.99174114637583,1994.3729338196056,7,5,0,247.5,2445,203.75,119.91533471579021,345,15,27.0,28.25,13.712068893253612,47,2,2020-05-06T12:37:15.066880,2020-05-06T12:38:06.704470,51.63759,safe
72.49191721726419,1686.8358154357502,5,6,3,120.0,1875,170.45454545454547,110.83268605208781,315,30,12.0,22.454545454545453,16.71343300986385,47,2,2020-05-05T21:39:43.581609,2020-05-05T21:40:30.596857,47.015248,safe
102.38665564547864,1388.4810553295783,8,7,1,240.0,2820,188.0,136.14697940094007,345,15,27.0,27.0,13.5400640077266,47,7,2020-05-06T12:38:07.049060,2020-05-06T12:38:54.825075,47.776015,safe
52.783954494962046,2029.5306012606898,8,8,2,187.5,2985,186.5625,123.11984443520873,345,15,29.5,27.3125,14.193831186469705,47,2,2020-05-05T21:40:31.083825,2020-05-05T21:41:29.119163,58.035338,safe
208.2081710662985,1785.7092281213897,10,8,4,270.0,3690,205.0,130.6713434537198,345,15,12.0,19.22222222222222,17.655831757856337,47,2,2020-05-06T12:38:56.158632,2020-05-06T12:39:26.796194,30.637562,unsafe
127.18008183839729,1890.8102227437946,7,6,1,240.0,2460,189.23076923076923,115.97158395065435,345,15,27.0,26.23076923076923,14.256733071423568,42,2,2020-05-05T21:41:29.479162,2020-05-05T21:42:15.062469,45.583307,unsafe
41.18081800626967,2388.2412194523627,7,8,5,120.0,2520,168.0,114.2628548566856,345,15,17.0,20.666666666666668,10.718623460542352,42,7,2020-05-06T12:39:27.521338,2020-05-06T12:40:28.673348,61.15201,safe
69.75590131464732,1633.2161715782947,8,8,2,195.0,2925,182.8125,131.43402277854088,345,15,27.0,26.375,14.986973510352248,47,2,2020-05-05T21:42:15.450817,2020-05-05T21:43:11.533145,56.082328,safe
122.58874336577558,1842.3138175810561,8,7,6,255.0,2955,197.0,125.24376231972593,345,15,22.0,23.666666666666668,14.567848922274772,47,2,2020-05-06T12:40:29.915264,2020-05-06T12:41:23.340859,53.425595,safe
20.0,1668.1150196612589,7,7,5,172.5,2550,182.14285714285714,113.22724125962492,345,30,22.0,23.071428571428573,16.276469807294056,47,2,2020-05-05T21:43:12.276347,2020-05-05T21:43:42.618821,30.342474,unsafe
146.402635769407,2199.7538110811124,8,8,5,172.5,2865,179.0625,118.40368910532307,345,30,17.0,19.8125,13.80316426584861,47,2,2020-05-06T12:41:24.087932,2020-05-06T12:42:22.776071,58.688139,safe
269.48612805935187,1564.0576825419434,6,6,3,180.0,2055,171.25,121.15976023416356,315,15,29.5,25.75,14.160537889972025,42,2,2020-05-05T21:43:43.193821,2020-05-05T21:44:34.047191,50.85337,safe
35.14295454662025,1401.8894692259883,7,7,2,180.0,2505,178.92857142857142,119.92823108945156,330,15,24.5,23.071428571428573,14.660268394124136,47,2,2020-05-06T12:42:23.346611,2020-05-06T12:42:56.900419,33.553808,unsafe
107.6421108302429,1642.4558767994054,6,6,4,165.0,2100,175.0,126.73791855636576,345,15,32.0,28.25,13.559283412727483,47,2,2020-05-05T21:44:35.028513,2020-05-05T21:45:25.100015,50.071502,safe
103.2750211913141,1382.3526025218648,11,8,0,255.0,3840,202.10526315789474,128.3325838497859,345,15,22.0,25.42105263157895,15.048398374206103,47,2,2020-05-06T12:42:57.540418,2020-05-06T12:43:30.534554,32.994136,unsafe
56.30064565375808,56.30064565375808,1,0,1,285.0,285,285.0,0.0,285,285,12.0,12.0,0.0,12,12,2020-05-05T21:45:26.433037,2020-05-05T21:45:50.235427,23.80239,safe
20.0,1723.8770604793988,8,11,4,75.0,2955,155.52631578947367,137.40924983078168,330,15,22.0,24.105263157894736,12.281328304818983,42,2,2020-05-06T12:43:31.847199,2020-05-06T12:44:20.134905,48.287706,unsafe
